1_001/1	
θ/2θ, °	Intensity, counts
10	27.7479496002197
10.0200004577637	18.4394130706787
10.039999961853	25.5155162811279
10.0600004196167	31.9799194335938
10.0799999237061	27.6278133392334
10.1000003814697	14.1156063079834
10.1199998855591	13.871753692627
10.1400003433228	22.0121288299561
10.1599998474121	23.8362827301025
10.1800003051758	12.2742547988892
10.1999998092651	18.8565254211426
10.2200002670288	21.1685695648193
10.2399997711182	25.614595413208
10.2600002288818	31.744987487793
10.2799997329712	22.1668243408203
10.3000001907349	22.8589572906494
10.3199996948242	26.8741817474365
10.3400001525879	21.9555072784424
10.3599996566772	29.7175598144531
10.3800001144409	34.8521766662598
10.3999996185303	32.2474250793457
10.4200000762939	23.9040985107422
10.4399995803833	21.7741069793701
10.460000038147	26.2516384124756
10.4799995422363	35.8130798339844
10.5	28.3231143951416
10.5200004577637	18.628927230835
10.539999961853	24.5973358154297
10.5600004196167	25.3772411346436
10.5799999237061	26.3864040374756
10.6000003814697	16.4379749298096
10.6199998855591	17.7810382843018
10.6400003433228	23.3105506896973
10.6599998474121	20.7384834289551
10.6800003051758	18.5274562835693
10.6999998092651	12.5583763122559
10.7200002670288	22.4254055023193
10.7399997711182	15.3426895141602
10.7600002288818	27.8777332305908
10.7799997329712	23.4064331054688
10.8000001907349	24.6125659942627
10.8199996948242	9.27169513702393
10.8400001525879	22.7594985961914
10.8599996566772	25.4239654541016
10.8800001144409	20.7704925537109
10.8999996185303	19.9833240509033
10.9200000762939	19.3478603363037
10.9399995803833	15.4759178161621
10.960000038147	20.0539398193359
10.9799995422363	22.8984260559082
11	10.0486907958984
11.0200004577637	18.6794338226318
11.039999961853	22.8493804931641
11.0600004196167	23.3576259613037
11.0799999237061	17.7424869537354
11.1000003814697	23.6112480163574
11.1199998855591	25.1659393310547
11.1400003433228	20.976806640625
11.1599998474121	26.9180431365967
11.1800003051758	16.5876388549805
11.1999998092651	18.3919200897217
11.2200002670288	20.4583206176758
11.2399997711182	23.4461688995361
11.2600002288818	11.8089780807495
11.2799997329712	11.9120388031006
11.3000001907349	32.4461059570313
11.3199996948242	20.4285125732422
