Calc. data		1140519_001	
2θ, °	Intensity, counts	2θ, °	Intensity, counts
10	0	10	24.211633682251
10.0200004577637	0	10.0200004577637	18.40651512146
10.039999961853	0	10.039999961853	20.1028366088867
10.0600004196167	0	10.0600004196167	11.4658174514771
10.0799999237061	0	10.0799999237061	-0.0688446313142776
10.1000003814697	0	10.1000003814697	-7.21105146408081
10.1199998855591	0	10.1199998855591	5.86127710342407
10.1400003433228	0	10.1400003433228	-10.0257339477539
10.1599998474121	0	10.1599998474121	12.6873149871826
10.1800003051758	0	10.1800003051758	-14.500584602356
10.1999998092651	0	10.1999998092651	-6.78450345993042
10.2200002670288	0	10.2200002670288	-9.87237453460693
10.2399997711182	0	10.2399997711182	10.815863609314
10.2600002288818	0	10.2600002288818	12.6437339782715
10.2799997329712	0	10.2799997329712	-3.74058818817139
10.3000001907349	0	10.3000001907349	-26.1887435913086
10.3199996948242	0	10.3199996948242	-13.8135089874268
10.3400001525879	0	10.3400001525879	33.3550033569336
10.3599996566772	0	10.3599996566772	0.0134823471307755
10.3800001144409	0	10.3800001144409	-7.61885452270508
10.3999996185303	0	10.3999996185303	-36.8012847900391
10.4200000762939	0	10.4200000762939	-39.1022644042969
10.4399995803833	0	10.4399995803833	-0.602767944335938
10.460000038147	0	10.460000038147	21.0769901275635
10.4799995422363	0	10.4799995422363	2.37279772758484
10.5	0	10.5	36.5821723937988
10.5200004577637	0	10.5200004577637	-0.0850989893078804
10.539999961853	0	10.539999961853	-6.89676094055176
10.5600004196167	0	10.5600004196167	-19.4778156280518
10.5799999237061	0	10.5799999237061	27.7375907897949
10.6000003814697	0	10.6000003814697	-12.5039014816284
10.6199998855591	0	10.6199998855591	1.09465932846069
10.6400003433228	0	10.6400003433228	54.9098434448242
10.6599998474121	0	10.6599998474121	-2.34964656829834
10.6800003051758	0	10.6800003051758	-11.9294586181641
10.6999998092651	0	10.6999998092651	13.2271356582642
10.7200002670288	0	10.7200002670288	1.9314296245575
10.7399997711182	0	10.7399997711182	4.26935815811157
10.7600002288818	0	10.7600002288818	-10.3373279571533
10.7799997329712	0	10.7799997329712	-18.153980255127
10.8000001907349	0	10.8000001907349	-13.0388774871826
10.8199996948242	0	10.8199996948242	-12.3540067672729
10.8400001525879	0	10.8400001525879	19.2177715301514
10.8599996566772	0	10.8599996566772	-4.31695652008057
10.8800001144409	0	10.8800001144409	8.05995273590088
10.8999996185303	0	10.8999996185303	-12.9388580322266
10.9200000762939	0	10.9200000762939	-10.3101844787598
10.9399995803833	0	10.9399995803833	5.13111972808838
10.960000038147	0	10.960000038147	26.4166088104248
10.9799995422363	0	10.9799995422363	25.5529651641846
11	0	11	27.8866500854492
11.0200004577637	0	11.0200004577637	19.6059265136719
11.039999961853	0	11.039999961853	-9.28732967376709
11.0600004196167	0	11.0600004196167	21.1114330291748
11.0799999237061	0	11.0799999237061	8.65977478027344
11.1000003814697	0	11.1000003814697	-1.34438025951385
11.1199998855591	0	11.1199998855591	29.3288555145264
11.1400003433228	0	11.1400003433228	-17.3568363189697
11.1599998474121	0	11.1599998474121	-14.6341533660889
11.1800003051758	0	11.1800003051758	18.9895172119141
11.1999998092651	0	11.1999998092651	-9.24736404418945
11.2200002670288	0	11.2200002670288	-7.43578481674194
11.2399997711182	0	11.2399997711182	2.54508590698242
11.2600002288818	0	11.2600002288818	-18.1585731506348
11.2799997329712	0	11.2799997329712	-0.908430457115173
11.3000001907349	0	11.3000001907349	-13.2110319137573
11.3199996948242	0	11.3199996948242	-6.75404691696167
11.3400001525879	0	11.3400001525879	8.45081806182861
11.3599996566772	0	11.3599996566772	12.7927370071411
11.3800001144409	0	11.3800001144409	2.76691579818726
11.3999996185303	0	11.3999996185303	-2.0275559425354
11.4200000762939	0	11.4200000762939	32.7642250061035
11.4399995803833	0	11.4399995803833	-12.8828935623169
11.460000038147	0	11.460000038147	-0.744422316551208
